A1,A2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12,3
20,4
21,3
22,3
24,4
26,4
29,4
30,4
30,4
30,4
34,5
37,5
38,5
39,5
40,5
43,6
45,6
46,6
47,6
48,6
50,7
53,7
55,8
57,8
58,8
62,9
66,10
68,10
69,10
70,10
72,11
73,11
74,11
76,11
79,12
83,13
86,13
89,14
93,14
96,15
100,16
108,17
112,18
115,18
118,19
119,19
123,19
125,19
128,20
130,20
132,20
135,21
138,22
143,22
146,23
151,24
153,24
159,25
163,26
171,28
176,29
184,31
191,31
196,33
207,35
217,37
233,41
241,42
246,43
251,44
263,47
273,49
285,52
328,63
359,70
402,82
412,84
439,90
473,100
498,107
597,141
832,234
861,236
844,243
872,250
929,279
864,260
907,272
906,280
898,277
938,296
933,295
931,296
911,289
937,301
930,299
950,301
946,303
938,298
934,298
947,304
946,316
947,318
947,319
946,321
945,322
941,322
941,324
937,324
901,310
898,312
897,314
599,189
524,164
455,138
436,131
418,124
377,107
338,94
293,75
266,65
238,56
227,53
209,48
200,46
195,44
189,43
185,42
178,40
172,38
160,34
144,29
127,24
115,20
110,19
105,18
101,17
96,16
92,16
89,15
88,14
87,15
85,15
83,14
82,14
81,14
80,14
79,14
76,13
73,12
68,10
64,10
61,9
59,8
57,8
55,8
53,7
51,7
49,6
46,5
41,4
38,3
33,2
25,0
4,0
2,0
2,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
17,2
21,2
22,2
23,3
23,2
24,2
26,3
28,3
31,4
34,5
36,5
37,5
37,5
39,5
40,6
42,5
43,6
44,7
47,7
50,8
52,8
53,8
54,9
58,10
63,11
67,12
69,12
71,13
74,13
78,14
81,15
86,16
92,17
99,19
101,19
105,20
108,20
114,22
119,23
122,23
123,23
124,23
127,24
129,25
132,25
135,26
140,27
144,28
149,29
157,31
164,33
175,36
191,40
199,42
206,43
214,46
222,47
241,53
278,64
304,70
326,77
358,86
415,105
463,120
586,166
749,230
864,274
865,275
899,291
907,296
914,302
936,313
924,311
928,315
922,314
930,320
912,316
914,318
911,319
916,323
921,327
