A1,A2
907,487
910,490
888,473
888,474
906,489
892,479
870,465
889,477
885,474
884,474
880,471
883,473
888,476
890,477
889,476
888,476
872,467
850,454
881,471
856,455
881,472
860,458
842,448
869,464
872,466
867,463
871,465
873,467
876,469
878,471
872,467
872,467
872,467
878,471
881,473
884,476
884,475
884,476
886,477
888,478
888,479
887,478
886,477
885,477
885,476
884,476
877,471
881,475
880,473
829,440
824,437
822,437
760,396
413,176
325,122
317,117
309,111
303,106
258,82
227,65
209,56
205,55
202,53
194,50
187,47
180,44
172,40
161,36
153,33
149,31
146,30
141,29
131,24
121,20
115,18
114,18
113,18
112,18
111,18
111,18
109,17
108,17
105,16
103,15
102,14
101,14
100,14
99,13
97,13
96,12
95,12
94,11
94,11
94,11
93,11
92,10
91,10
91,10
90,9
90,9
90,9
89,9
89,9
88,8
85,7
80,4
78,4
77,4
77,4
77,3
76,3
75,3
75,3
74,3
73,2
71,1
69,1
69,0
68,0
66,0
62,0
55,0
41,0
10,0
9,0
9,0
9,0
9,0
8,0
8,0
8,0
8,0
7,0
7,0
6,0
8,0
7,0
7,0
6,0
5,0
6,0
7,0
6,0
7,0
7,0
6,0
7,0
7,0
7,0
7,0
7,0
8,0
7,0
7,0
8,0
7,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
6,0
5,0
24,0
39,0
49,0
54,0
58,0
63,0
67,1
72,1
75,2
77,2
80,2
83,3
86,3
88,3
90,3
94,4
99,5
103,6
107,6
110,7
113,7
116,8
119,8
120,8
122,8
124,8
126,9
127,9
128,9
131,9
132,9
135,10
138,10
141,11
143,11
144,11
145,11
146,11
148,12
149,12
151,12
152,12
153,12
155,13
159,14
166,15
171,17
174,17
176,17
178,17
180,18
184,19
185,19
189,20
192,21
195,22
199,23
202,23
204,23
208,25
214,26
216,26
217,27
220,27
224,29
227,29
230,31
233,31
236,32
242,34
249,36
254,37
258,38
262,39
269,42
277,45
289,48
296,50
309,55
335,64
362,74
388,84
417,95
436,103
466,115
527,142
826,284
898,308
899,307
893,306
897,312
931,332
930,336
929,341
927,346
927,352
926,358
925,363
924,368
923,373
922,379
921,384
920,389
918,395
916,401
915,408
913,415
911,421
909,427
908,433
907,438
906,442
905,445
901,446
904,451
904,453
902,455
903,457
903,459
902,460
901,461
899,461
880,451
838,427
837,426
840,429
843,432
842,432
849,437
849,437
845,436
819,420
806,412
810,415
752,378
514,230
431,179
389,153
366,139
349,128
340,123
330,116
325,113
325,113
320,110
301,99
280,86
264,77
257,73
257,73
255,72
253,71
245,66
235,61
225,55
215,49
211,47
210,47
210,46
209,46
205,44
203,43
200,41
194,38
187,34
181,31
176,29
174,28
170,26
168,25
165,23
163,22
163,22
163,22
163,22
160,21
158,20
155,19
151,17
147,15
143,14
141,13
141,13
141,13
140,13
140,13
140,13
140,13
139,13
138,12
137,12
135,11
134,11
133,11
132,10
131,10
130,10
128,9
125,8
123,7
121,7
121,7
121,7
120,7
119,6
119,6
117,6
116,5
112,4
99,0
10,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
4,0
3,0
5,0
39,0
53,0
65,1
74,3
81,3
83,3
86,3
88,4
91,4
93,4
96,4
98,4
101,5
104,5
106,6
110,6
113,7
117,8
124,9
129,10
133,10
135,10
137,11
139,11
141,11
141,11
142,11
144,11
145,11
147,11
149,12
151,12
153,12
157,13
161,14
165,15
168,16
171,16
175,17
177,17
178,17
179,17
181,18
183,18
187,19
192,20
197,21
201,22
205,23
208,24
211,24
217,26
220,27
228,29
232,30
234,30
239,32
246,34
255,36
262,38
266,39
276,43
288,46
312,54
330,60
341,64
365,72
409,88
478,114
628,176
877,286
911,303
903,300
898,298
908,306
913,311
927,322
913,317
909,319
887,316
935,341
916,336
907,338
938,358
902,346
887,347
904,359
905,366
901,371
924,386
928,394
926,401
923,407
920,413
912,416
906,420
862,401
583,243
377,136
376,136
377,136
374,134
366,129
364,128
342,116
303,94
268,76
241,61
224,52
214,46
207,43
204,41
200,39
196,37
193,35
191,34
189,33
184,31
179,28
173,25
167,22
164,21
163,20
161,19
160,18
159,18
159,18
157,17
156,16
153,15
151,15
149,13
146,12
145,12
143,11
142,11
141,10
140,10
138,9
137,9
135,8
134,8
134,8
133,8
131,7
130,7
128,6
125,6
124,5
123,5
122,5
121,5
120,4
118,4
116,3
114,3
112,2
109,1
107,1
105,0
102,0
98,0
88,0
79,0
74,0
72,0
62,0
47,0
13,0
10,0
10,0
9,0
9,0
9,0
9,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
5,0
5,0
4,0
5,0
4,0
4,0
7,0
34,0
46,0
53,0
59,0
64,0
68,0
70,0
73,1
77,2
81,2
85,3
87,3
89,3
92,4
94,4
97,4
101,5
105,6
108,6
111,7
115,8
119,8
122,9
126,9
128,9
130,10
131,10
133,10
136,10
138,11
142,12
145,12
147,12
150,13
153,13
156,14
159,15
162,15
163,15
166,16
168,16
172,17
174,17
177,18
181,19
184,20
189,20
192,21
194,22
197,22
201,23
204,24
210,26
216,27
223,29
228,30
231,31
236,32
243,34
249,36
253,37
256,37
259,38
262,39
267,41
271,42
272,42
277,44
285,46
290,48
294,49
301,52
307,54
320,58
332,63
346,67
378,78
413,91
427,96
431,99
468,113
560,150
870,283
906,300
913,305
916,308
911,307
890,299
893,303
902,312
936,329
930,329
918,328
909,331
915,337
919,344
927,353
916,354
910,356
911,361
909,369
913,375
912,383
914,391
915,398
918,407
918,414
917,420
878,407
906,426
885,419
887,425
886,427
895,436
888,434
880,432
880,434
887,440
884,440
884,442
882,442
855,427
846,423
847,424
847,426
839,421
836,421
830,418
833,420
837,424
808,406
791,396
583,267
538,240
474,200
429,173
385,147
348,124
321,108
273,81
259,73
247,65
246,64
240,61
235,58
227,54
217,48
213,46
208,43
206,41
203,40
193,34
187,31
177,25
171,22
167,20
165,19
164,18
161,17
159,16
157,15
156,14
154,13
153,13
152,12
151,12
152,12
150,11
149,11
148,11
148,10
146,10
145,9
144,9
143,8
140,8
139,7
138,7
137,7
136,6
134,6
133,5
132,5
131,5
129,4
127,3
125,3
124,3
122,2
120,1
119,1
