A1,A2
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
23,0
24,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
23,0
23,0
23,0
24,0
24,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
31,0
47,0
48,0
50,0
56,2
64,4
67,5
68,4
69,4
70,4
71,4
71,4
72,4
73,4
75,5
78,5
80,6
80,6
82,6
85,7
88,8
89,8
90,8
91,9
92,8
92,8
93,8
95,9
97,9
103,11
110,14
116,16
118,16
120,16
122,16
124,17
125,17
127,17
130,18
134,19
139,21
143,22
146,23
147,23
150,24
152,24
155,26
158,26
161,27
163,27
165,28
169,29
174,31
176,31
179,32
181,32
184,33
188,35
192,36
196,37
197,37
198,37
199,37
200,37
202,38
205,39
208,40
210,41
211,41
212,41
214,42
219,44
226,46
234,50
245,54
250,56
255,57
256,57
257,58
258,57
270,63
293,73
314,82
322,85
323,85
332,89
341,92
366,104
403,122
481,161
820,354
876,383
880,382
908,397
922,404
920,403
918,401
915,400
922,406
925,409
930,413
928,413
926,414
927,416
926,417
925,419
926,421
928,424
928,426
928,428
927,430
923,429
907,422
927,436
930,440
930,443
930,445
930,447
917,442
909,441
913,446
903,442
904,446
912,452
914,456
914,458
915,461
918,466
920,469
919,471
915,471
908,469
909,471
906,472
916,479
917,481
916,482
916,484
913,483
913,484
915,487
904,481
906,483
900,480
901,482
904,485
907,488
909,490
910,491
910,492
911,494
914,496
914,497
912,496
912,497
913,498
913,499
916,501
918,503
918,504
915,502
909,499
910,500
910,501
903,496
901,496
900,496
899,495
906,501
909,503
911,504
909,503
911,505
911,505
911,506
912,506
912,507
913,508
913,508
913,509
911,508
915,510
916,512
917,512
916,512
916,513
916,513
916,513
917,514
917,514
921,517
912,511
912,512
926,521
923,519
900,504
907,509
901,505
902,506
906,509
907,510
907,510
901,506
905,509
909,512
910,513
905,509
896,503
891,500
892,501
892,502
894,503
894,503
894,503
894,503
893,503
890,500
889,501
889,500
888,499
884,497
886,499
886,499
889,501
888,500
892,503
891,502
891,502
891,503
891,503
893,504
893,505
893,505
892,504
894,506
895,506
896,507
894,506
892,505
890,504
889,503
889,503
889,503
889,503
888,503
886,501
882,498
883,499
886,501
892,506
887,502
896,508
898,510
904,514
904,514
907,516
907,516
891,506
896,509
894,508
895,508
888,504
895,509
898,511
894,508
877,496
883,501
882,500
882,500
881,499
880,500
876,497
887,504
893,508
896,510
898,512
899,512
898,512
896,511
895,510
895,510
895,510
895,510
895,510
895,510
894,509
892,508
897,511
890,507
891,508
888,506
878,499
883,503
886,504
884,503
871,494
878,499
881,501
893,509
896,511
887,505
874,497
859,486
878,499
864,489
872,495
824,462
829,466
840,473
837,471
840,473
844,476
852,481
853,482
853,482
801,447
778,430
475,225
412,182
356,145
341,135
326,124
316,118
311,114
293,102
284,96
272,88
264,83
257,78
250,73
233,63
223,56
222,56
215,51
211,48
209,47
206,45
204,43
197,39
191,36
190,35
187,33
185,32
180,28
178,27
176,26
174,25
172,24
169,22
168,21
166,21
165,20
163,19
162,18
162,18
161,18
160,17
159,16
157,16
156,15
154,14
152,13
152,13
151,12
150,12
149,12
148,11
147,11
146,10
145,10
144,9
143,9
142,8
141,8
140,8
140,8
139,7
138,6
136,6
135,5
135,5
134,5
133,4
132,4
130,3
129,3
129,3
128,2
127,2
126,1
124,1
122,0
119,0
116,0
115,0
113,0
111,0
106,0
99,0
