A1,A2
14,0
14,0
15,0
14,0
14,0
14,0
14,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,0
12,0
12,0
13,0
15,0
41,0
45,0
51,0
58,0
63,1
69,2
72,3
77,5
81,6
85,7
90,9
93,10
96,11
98,11
101,12
108,15
116,18
119,19
120,19
123,20
125,20
127,20
129,21
130,21
132,21
135,23
139,24
147,28
156,31
162,33
164,34
170,36
178,40
184,42
189,44
196,47
203,50
220,58
257,77
312,107
381,143
484,200
816,421
828,437
823,432
875,475
887,489
866,489
879,511
874,514
873,518
856,508
842,503
863,518
873,525
881,532
860,519
856,517
857,518
861,521
861,522
865,525
859,521
871,531
890,544
891,545
892,546
893,548
893,548
893,548
894,549
895,550
898,553
918,568
919,568
919,568
919,569
916,567
913,565
907,561
903,558
898,554
872,538
880,543
892,550
899,556
893,551
886,546
894,553
907,562
908,562
908,563
909,563
908,563
908,563
881,542
880,544
872,538
885,545
887,549
880,541
866,532
831,507
836,511
845,518
832,508
821,500
777,468
777,467
495,263
401,194
341,151
293,116
260,92
253,87
244,80
230,70
212,58
200,50
191,44
178,34
170,29
166,27
163,25
157,21
152,17
146,14
144,13
144,13
144,13
143,12
142,12
141,11
141,11
141,11
139,10
137,9
134,7
132,6
130,6
129,6
128,5
127,4
125,3
122,2
120,1
116,0
111,0
101,0
86,0
47,0
27,0
26,0
26,0
25,0
21,0
20,0
20,0
20,0
20,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
18,0
19,0
18,0
18,0
18,0
17,0
17,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
18,0
17,0
17,0
24,0
50,0
60,0
65,0
69,0
74,0
80,0
86,1
89,2
91,2
93,2
94,3
96,3
98,4
100,4
103,6
105,6
106,6
108,6
110,7
113,8
115,9
116,9
117,9
118,9
120,9
122,10
123,10
125,11
126,11
127,11
128,11
129,12
131,12
132,12
134,13
135,13
136,14
138,14
140,15
143,16
144,16
145,16
146,16
148,17
149,17
151,18
154,19
157,20
159,21
161,21
162,22
165,23
170,25
171,25
173,26
173,26
176,27
180,29
184,30
186,31
188,31
190,32
194,34
205,39
214,43
225,48
232,52
239,55
247,58
260,65
280,74
293,81
316,93
329,99
347,108
351,109
363,115
400,137
447,163
482,183
510,199
819,400
868,428
879,431
878,428
869,421
875,426
882,433
910,454
916,462
916,467
916,473
916,480
916,486
914,491
914,497
913,502
915,508
914,513
912,516
912,521
912,524
910,527
910,530
910,532
909,534
910,536
909,538
910,541
911,543
910,543
912,546
914,549
906,545
906,545
906,546
906,547
906,548
906,548
905,548
903,548
901,546
900,546
899,546
896,544
896,545
903,550
904,551
887,539
884,537
886,538
890,542
878,531
878,533
871,529
886,540
885,541
897,548
844,510
843,509
840,507
842,509
842,509
839,507
842,509
793,473
755,445
482,248
448,223
402,190
371,167
347,149
320,130
315,126
311,123
302,117
287,105
263,89
249,80
245,76
245,77
239,72
229,66
219,59
214,55
208,52
207,51
207,51
203,48
202,47
197,44
194,43
194,43
193,42
192,41
189,39
184,36
180,34
179,34
179,33
178,33
176,32
172,30
169,28
167,27
164,26
162,25
160,23
158,22
155,20
153,19
151,18
150,18
149,17
147,17
145,16
142,14
141,13
140,13
139,13
138,13
137,12
136,12
134,11
133,10
131,10
129,9
128,8
126,7
124,6
122,6
121,5
119,4
117,3
113,1
109,0
107,0
104,0
99,0
92,0
80,0
32,0
43,0
49,0
42,0
39,0
40,0
36,0
34,0
33,0
27,0
30,0
24,0
28,0
27,0
25,0
22,0
26,0
24,0
29,0
30,0
32,0
32,0
32,0
30,0
30,0
29,0
22,0
27,0
22,0
20,0
18,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
18,0
18,0
17,0
19,0
19,0
19,0
21,0
53,0
68,0
71,0
73,0
77,0
80,0
82,0
85,0
89,1
96,4
102,7
105,7
107,7
109,8
110,8
112,8
114,9
115,9
117,9
119,10
121,10
124,12
128,13
131,14
135,15
139,16
143,18
145,19
148,19
152,21
156,22
159,23
161,24
166,25
170,27
176,29
182,32
184,32
186,32
188,33
194,35
199,37
206,40
212,43
223,48
239,55
255,62
264,66
267,67
268,67
280,73
292,78
309,87
343,105
371,119
424,148
576,241
822,392
864,417
871,420
911,445
913,447
913,446
913,447
916,450
913,450
914,453
914,455
913,458
913,460
912,463
912,467
912,470
912,473
911,476
910,479
909,482
910,485
909,488
909,492
902,491
909,499
910,503
910,506
908,509
902,508
900,510
907,518
891,509
892,513
891,514
900,522
877,507
911,533
914,537
910,536
904,532
903,533
899,532
900,533
899,534
901,536
897,534
898,536
900,538
897,536
854,507
851,505
849,504
843,500
838,498
843,501
841,500
848,505
852,508
829,492
781,458
427,207
411,195
405,191
399,186
340,144
280,103
248,80
241,75
237,71
232,68
232,68
232,68
221,60
214,57
213,55
203,49
199,46
193,43
185,37
180,34
177,32
175,31
172,29
164,24
156,19
152,17
150,16
149,16
149,16
149,16
148,15
147,15
145,14
144,14
143,13
142,13
141,13
140,12
137,10
134,9
131,8
129,7
127,6
127,6
125,5
124,4
121,4
119,2
117,2
116,1
114,0
113,0
112,0
111,0
109,0
108,0
107,0
104,0
100,0
94,0
92,0
91,0
89,0
81,0
69,0
30,0
24,0
21,0
21,0
21,0
21,0
16,0
16,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,0
13,0
14,0
16,0
15,0
16,0
15,0
17,0
37,0
42,0
44,0
51,0
54,0
62,0
67,0
69,0
72,0
75,0
79,0
83,1
90,3
94,5
97,6
99,6
101,7
103,7
104,7
105,7
107,7
108,7
109,8
110,8
111,8
114,9
117,10
119,10
120,10
121,11
123,11
125,12
128,13
129,13
131,13
132,14
134,14
136,15
138,16
140,16
142,16
144,17
145,18
146,18
148,18
151,20
155,21
158,22
159,22
161,23
165,24
172,28
179,30
182,31
183,32
189,34
199,39
207,42
217,47
226,50
248,61
273,73
288,80
298,83
308,88
319,93
330,98
349,108
366,116
393,130
452,162
648,291
830,391
839,396
876,420
869,415
873,417
901,437
916,446
911,444
910,445
911,446
911,448
911,449
912,451
914,454
913,456
913,457
911,458
910,460
910,462
909,463
909,465
910,468
910,469
909,472
909,474
911,478
911,480
910,482
910,485
876,463
885,475
877,472
891,483
893,488
869,475
875,481
880,487
881,490
884,494
887,498
884,498
883,500
882,500
880,501
879,502
879,503
878,504
877,505
882,510
885,513
884,514
882,513
882,514
882,515
881,515
881,516
881,517
881,518
880,518
879,518
878,519
844,495
835,490
829,486
833,489
417,196
282,104
270,95
271,95
271,95
271,95
271,95
271,95
261,88
253,83
243,76
229,67
219,60
210,54
201,48
195,44
192,42
192,42
191,42
184,37
174,31
168,27
165,25
164,25
161,23
159,22
155,19
153,18
152,18
152,18
150,17
148,16
145,14
143,13
141,13
141,12
140,12
139,12
137,11
134,9
131,8
129,7
127,6
126,6
125,5
123,4
121,3
119,3
118,2
115,1
113,0
110,0
104,0
98,0
94,0
82,0
65,0
34,0
32,0
32,0
28,0
28,0
28,0
27,0
27,0
26,0
26,0
26,0
26,0
25,0
25,0
25,0
24,0
24,0
24,0
24,0
23,0
23,0
23,0
22,0
22,0
22,0
21,0
21,0
21,0
20,0
20,0
21,0
20,0
20,0
20,0
20,0
22,0
22,0
26,0
61,0
77,0
89,2
95,4
99,5
102,5
104,6
106,6
108,6
110,7
112,7
116,9
122,11
126,13
130,14
133,14
137,16
140,16
143,17
145,17
146,18
150,20
155,21
160,23
163,24
165,25
169,26
172,27
179,30
183,31
185,32
187,32
192,34
198,37
207,41
214,44
224,48
233,53
248,60
270,70
287,79
316,93
343,106
363,116
374,120
383,125
396,132
434,152
741,344
861,409
855,404
899,434
899,434
901,436
901,437
903,439
902,439
902,440
902,441
901,442
901,443
903,445
904,447
904,449
904,450
904,452
904,454
904,455
904,457
904,458
904,460
904,462
904,464
903,465
902,466
902,468
902,470
901,471
898,472
897,473
890,471
889,473
890,475
898,483
900,486
900,488
899,490
898,492
898,494
892,492
895,495
895,498
894,498
893,500
893,502
893,503
892,505
893,507
893,508
893,510
893,511
893,513
893,513
893,515
892,516
892,517
891,517
891,518
891,519
890,519
890,520
890,521
889,521
888,521
888,522
888,523
888,523
887,523
884,521
875,516
876,517
876,518
876,518
876,518
875,518
875,518
875,519
876,520
878,522
878,523
878,523
878,523
878,524
879,525
879,524
881,527
881,527
882,527
883,528
883,529
883,530
884,530
884,531
885,532
885,532
884,531
884,532
880,528
879,528
880,528
879,528
876,526
876,527
875,527
875,526
878,529
881,531
882,532
882,532
881,532
882,532
883,533
880,531
879,531
883,534
883,533
883,534
883,534
883,534
883,534
836,500
835,500
837,502
806,480
796,472
797,473
794,471
652,352
372,166
304,116
278,97
276,96
272,93
260,84
259,83
259,83
260,83
259,83
259,83
246,74
214,52
191,37
183,32
183,32
183,32
183,32
183,32
183,33
183,32
183,32
183,32
182,32
182,32
182,32
182,32
181,32
181,32
181,33
181,32
180,33
180,32
180,32
180,32
180,32
179,32
179,33
179,32
179,32
182,35
194,42
203,47
213,53
220,57
247,73
291,99
318,112
349,131
373,146
778,399
843,434
819,423
846,439
880,462
877,466
872,467
889,483
885,485
886,490
884,493
879,494
878,497
877,499
880,504
878,505
874,505
876,507
875,509
882,515
882,516
881,517
881,518
880,518
881,519
879,519
879,519
878,519
879,521
880,522
879,522
877,521
876,521
877,522
875,521
876,522
879,524
876,523
