A1,A2
15,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
15,0
15,0
16,0
14,0
14,0
14,0
14,0
16,0
14,0
14,0
13,0
14,0
21,0
31,0
35,0
37,0
41,2
44,2
45,2
49,4
54,5
59,7
64,8
67,9
70,10
72,10
75,11
79,12
81,12
84,13
87,14
89,15
91,15
93,15
96,16
99,17
102,18
104,18
106,19
109,20
112,20
113,21
115,21
117,21
119,22
122,22
125,23
127,24
129,24
131,25
133,26
137,27
139,28
141,28
142,28
143,28
144,28
145,28
149,30
151,30
153,31
154,31
156,32
158,32
161,33
162,33
164,34
168,36
175,39
181,41
182,41
186,41
189,43
193,44
195,45
196,45
199,46
204,48
205,48
207,48
206,48
212,50
215,51
222,55
228,57
229,57
234,59
240,61
250,66
266,74
279,80
312,96
341,109
342,109
353,116
386,132
438,160
532,215
796,378
839,401
844,400
895,432
892,428
868,411
870,413
894,430
896,434
895,435
895,438
888,437
900,449
904,455
897,455
912,469
912,473
912,477
907,479
906,482
900,482
897,485
897,489
891,490
902,501
902,505
902,508
902,511
902,514
901,515
901,517
899,518
899,519
899,521
898,522
898,523
902,527
906,530
896,524
900,528
902,530
903,531
903,532
904,534
904,535
904,535
904,536
904,537
904,537
904,538
904,538
903,538
903,538
905,540
886,526
886,527
893,532
885,526
895,535
884,527
870,517
870,518
866,515
889,531
881,525
872,520
877,524
860,511
858,510
853,507
862,514
859,511
863,514
853,508
846,503
849,505
856,511
861,514
859,513
867,519
864,517
866,518
861,515
866,519
869,521
874,524
866,519
864,518
869,521
870,522
815,483
827,492
829,494
840,501
844,504
843,504
839,501
793,468
774,455
423,208
358,163
331,145
291,118
264,99
240,83
212,65
202,58
192,52
186,48
182,46
178,43
174,40
169,37
168,36
167,35
164,34
159,31
157,29
154,27
153,26
151,25
150,24
147,22
145,21
144,20
143,19
143,19
142,18
140,17
138,16
136,15
136,15
136,15
135,14
135,14
134,14
133,13
133,13
132,12
131,11
129,11
128,10
127,9
126,9
125,8
124,8
123,7
123,7
122,7
121,6
120,6
118,5
115,3
111,1
108,0
106,0
105,0
103,0
101,0
99,0
93,0
83,0
44,0
35,0
35,0
34,0
33,0
31,0
30,0
30,0
30,0
29,0
29,0
28,0
28,0
28,0
27,0
27,0
27,0
27,0
27,0
27,0
26,0
25,0
25,0
25,0
25,0
24,0
24,0
24,0
24,0
24,0
23,0
23,0
23,0
24,0
26,0
25,0
28,0
49,0
54,0
60,0
63,0
74,0
82,0
88,0
92,1
95,2
96,2
97,2
99,2
101,3
102,3
104,4
106,4
108,5
110,5
111,5
112,5
113,6
114,6
116,6
117,6
117,6
118,6
119,7
121,7
122,7
123,7
124,8
125,8
126,8
127,9
128,9
130,10
131,10
132,10
133,10
135,11
138,13
141,14
143,15
144,15
146,16
147,16
148,16
150,17
152,18
153,18
154,18
156,18
157,19
159,19
161,20
163,20
164,21
165,21
166,21
168,22
169,22
170,22
171,22
172,23
174,24
176,24
177,24
179,25
180,25
182,26
182,26
183,26
183,26
183,26
183,26
184,26
184,26
184,26
184,26
184,26
184,26
182,25
178,23
175,21
170,19
166,17
164,17
163,17
162,16
160,16
159,15
157,15
156,14
154,14
153,13
152,13
151,12
149,12
147,11
146,11
145,10
144,10
142,9
141,9
139,8
137,8
137,8
135,7
135,7
134,7
132,7
131,6
130,6
129,6
128,5
126,5
125,4
124,4
123,4
123,4
121,3
119,3
119,3
118,3
118,3
