A1,A2
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
4,0
4,0
3,0
4,0
4,0
3,0
3,0
3,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
15,1
36,6
41,6
44,6
45,6
47,6
48,6
49,6
50,6
51,6
53,6
53,6
55,7
56,7
58,7
60,8
61,8
62,8
63,8
64,8
65,8
66,9
68,9
69,9
70,9
71,9
73,10
74,10
76,10
79,11
82,12
83,12
84,12
85,12
86,12
86,12
88,13
91,14
93,14
96,15
99,16
102,16
104,17
106,17
109,18
111,19
113,19
114,19
117,20
120,21
123,21
125,22
127,22
128,22
129,22
131,23
135,24
136,24
139,25
141,25
143,26
146,27
152,28
158,31
164,33
171,35
177,37
182,38
185,38
189,40
195,42
199,42
206,45
209,46
215,47
227,52
239,57
262,67
280,72
294,78
313,85
320,87
331,92
351,100
371,110
403,124
464,155
508,177
780,333
835,361
862,376
871,383
874,386
924,419
912,415
916,421
918,427
918,431
919,437
917,441
913,443
898,439
906,449
901,449
914,462
912,465
913,470
909,471
912,476
912,480
912,483
910,485
909,487
908,488
906,489
907,492
907,494
906,495
903,495
901,496
897,494
897,496
898,497
898,498
898,500
906,506
894,499
889,496
892,500
894,502
895,503
893,503
891,502
889,502
894,506
887,502
879,497
876,495
882,500
882,501
885,504
888,506
891,509
881,502
889,508
893,511
897,515
896,515
899,517
887,509
881,505
880,505
903,521
887,511
882,508
890,514
857,491
882,509
880,509
899,522
896,520
891,517
886,513
897,522
910,530
885,513
898,523
908,530
905,528
908,530
906,530
908,532
909,532
911,534
907,531
905,530
905,530
903,530
899,527
895,524
899,527
905,532
906,532
906,532
904,531
869,506
845,490
849,494
801,460
434,204
348,149
310,124
295,114
290,111
270,98
258,91
247,85
244,83
240,81
231,76
221,69
205,61
197,56
191,54
183,49
177,46
173,44
170,43
167,41
160,37
153,34
150,32
147,31
146,30
145,29
143,28
140,27
140,26
139,26
138,25
137,24
134,23
132,22
130,20
127,19
124,17
123,17
123,16
121,15
119,14
118,13
118,13
118,13
118,13
117,13
117,12
117,12
116,12
115,11
115,11
115,10
114,10
114,10
113,9
112,8
111,8
111,8
110,8
109,7
109,6
108,6
107,5
106,5
104,4
102,3
101,2
99,2
97,0
95,0
90,0
87,0
82,0
79,0
70,0
29,0
18,0
17,0
17,0
15,0
