A1,A2
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
11,2
14,2
16,2
22,3
23,3
24,3
24,3
27,4
32,4
38,5
41,6
42,5
45,6
48,6
49,7
51,7
53,7
54,7
57,7
58,7
59,7
59,7
59,7
61,8
63,8
66,9
68,9
70,9
70,9
72,9
73,9
74,9
75,9
75,10
76,9
77,9
77,9
77,9
78,9
78,9
78,9
79,9
79,9
80,10
82,10
83,10
84,10
84,11
86,11
89,11
89,11
90,11
90,11
91,11
91,11
91,11
92,11
93,11
95,12
98,13
100,13
103,13
103,13
105,13
105,13
105,13
106,13
107,13
107,13
108,14
110,14
112,14
115,15
118,16
121,16
125,17
128,17
129,17
130,17
131,17
132,18
133,18
134,18
134,18
137,18
139,19
141,19
142,19
143,19
146,20
148,20
150,21
155,22
156,22
159,22
161,23
163,23
164,23
166,23
168,24
171,24
172,25
176,25
178,26
179,26
181,26
183,26
187,28
192,29
195,29
196,29
197,29
205,32
209,32
212,33
216,33
217,34
218,34
219,34
220,34
220,34
221,34
223,34
225,35
226,35
227,35
227,35
227,35
228,35
230,36
232,36
233,36
233,36
237,38
238,37
248,41
258,44
266,45
270,47
272,46
272,47
272,46
272,46
271,46
272,47
282,50
286,51
296,54
309,57
313,58
328,63
342,67
359,73
368,75
370,76
376,77
375,77
372,77
373,77
373,78
382,82
409,92
413,92
416,95
410,93
415,97
476,119
582,165
853,293
880,302
878,298
882,300
886,303
892,306
910,318
921,325
919,326
917,327
918,331
919,335
916,338
916,342
915,347
915,351
915,356
912,360
909,363
906,368
908,374
907,380
907,386
910,394
909,399
907,405
906,411
905,415
902,420
898,424
892,427
893,432
891,435
890,439
890,442
892,446
889,448
888,450
888,453
892,458
893,461
891,461
890,462
890,465
890,466
889,467
887,467
884,467
885,468
883,469
881,468
844,449
888,475
890,477
888,476
888,477
887,478
886,478
886,478
884,478
887,480
886,480
884,480
882,479
879,478
880,479
878,478
873,475
838,453
839,454
839,454
841,456
835,452
838,455
834,452
837,454
832,451
788,422
492,229
427,187
414,178
414,177
415,177
415,176
414,176
406,171
381,154
351,136
330,124
300,105
291,100
282,95
281,94
281,93
270,87
262,82
249,75
244,72
243,72
243,72
240,70
234,67
231,65
224,62
223,61
213,56
208,54
207,53
200,50
194,47
187,45
182,42
182,42
182,42
182,42
180,42
176,40
168,37
163,35
154,31
148,30
147,29
147,30
147,30
146,30
146,30
142,28
139,27
135,25
133,25
131,24
129,23
127,23
124,21
121,21
118,20
117,19
117,19
116,19
115,18
113,18
112,18
111,17
110,17
109,17
108,16
108,16
108,16
107,16
107,16
106,16
106,15
106,15
105,15
104,15
103,14
103,14
103,14
102,14
102,14
101,13
100,13
101,13
100,13
100,13
99,12
99,12
97,12
96,11
94,10
93,10
92,10
91,10
91,9
91,9
90,9
90,9
89,9
89,8
88,8
87,8
86,7
84,6
82,6
81,6
81,6
80,6
78,5
77,5
76,4
74,4
73,3
71,3
69,2
67,2
65,1
64,1
62,0
59,0
54,0
50,0
48,0
48,0
48,0
44,0
42,0
42,0
34,0
15,0
7,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
24,0
33,0
36,0
37,0
41,0
47,0
49,0
54,1
60,2
64,3
67,3
69,3
71,3
73,4
76,4
77,4
78,4
79,4
82,5
84,5
86,5
88,5
90,6
93,6
95,6
98,7
100,7
101,7
102,7
