A1,A2
105,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
105,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
104,8
103,8
102,8
101,8
98,7
93,6
86,5
83,5
78,5
70,3
58,2
48,1
46,1
45,1
44,1
44,1
43,1
40,1
36,0
27,0
20,0
8,0
4,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
3,0
12,1
18,2
21,2
25,2
29,3
34,3
37,3
38,3
41,4
47,4
56,6
68,7
71,7
73,7
74,7
76,7
79,7
81,7
82,7
85,8
89,8
94,9
96,9
97,9
101,9
105,10
108,10
112,10
116,11
118,11
120,11
120,11
124,12
131,13
134,13
135,13
136,13
139,14
143,14
146,14
150,14
152,15
154,15
155,15
156,15
159,16
166,16
175,18
180,18
182,18
183,18
185,18
188,18
188,19
189,18
193,19
199,20
202,20
206,21
209,21
210,21
212,22
217,22
219,22
224,23
228,23
235,25
245,26
252,27
255,27
256,27
257,27
257,27
259,28
274,31
285,32
289,32
290,32
295,33
301,34
303,34
310,36
320,37
328,39
336,40
337,40
351,43
382,49
418,56
430,58
435,58
438,59
454,62
465,65
470,66
473,66
473,66
479,68
485,69
487,70
495,72
552,87
649,114
905,205
921,217
924,222
925,224
926,227
923,228
920,229
923,233
946,245
947,249
946,253
946,257
944,262
942,268
941,275
940,282
937,289
935,295
934,301
933,307
931,313
930,318
928,323
927,329
926,333
924,336
923,340
922,343
921,346
920,349
919,351
920,354
921,357
920,359
919,361
919,363
919,364
919,366
918,367
918,369
918,370
918,371
918,373
918,374
917,375
916,376
915,376
916,378
914,378
914,379
878,362
875,362
879,364
872,362
873,364
876,366
843,348
615,228
447,145
382,112
361,101
328,85
303,74
294,70
285,65
276,62
267,58
252,52
247,50
237,47
230,45
225,43
220,41
213,39
198,34
186,31
173,28
165,26
161,25
156,24
151,23
146,22
145,22
142,21
138,20
134,20
128,18
124,17
121,17
118,16
113,15
109,14
107,14
104,13
100,12
97,12
93,11
89,10
86,9
85,9
83,9
82,9
81,9
79,8
76,8
73,7
70,6
66,6
63,5
61,5
60,5
58,4
56,4
54,4
49,3
44,2
39,0
30,0
6,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
2,0
2,0
3,0
2,0
2,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
2,0
11,0
16,0
17,0
17,0
21,0
25,0
29,0
31,0
33,1
35,1
38,1
44,2
48,3
55,4
63,5
67,5
73,6
79,7
83,7
85,8
87,8
87,7
89,8
93,8
98,9
103,10
108,11
110,11
111,11
113,11
114,11
117,12
120,12
125,13
131,14
137,15
139,15
140,15
143,16
147,16
152,17
157,18
159,18
164,19
168,20
172,20
176,21
184,22
192,24
197,25
199,25
202,25
202,25
202,25
206,26
208,27
212,27
214,28
215,28
216,28
216,28
218,28
222,29
223,30
228,31
231,31
241,34
246,34
251,35
257,36
259,37
260,37
265,38
271,40
283,43
289,44
290,44
290,44
289,44
292,44
301,47
301,47
314,50
321,52
328,53
335,55
341,56
360,61
367,63
370,64
377,66
381,67
389,69
396,71
402,73
402,73
409,75
410,76
410,76
418,79
425,81
450,89
493,101
509,106
512,107
516,109
523,112
550,121
565,126
567,127
574,131
584,135
691,172
875,237
892,242
892,244
913,256
919,260
917,264
916,267
912,271
912,275
911,280
913,284
909,286
910,291
910,296
932,308
935,314
935,318
935,323
934,327
934,331
932,335
930,338
928,342
927,345
927,349
927,352
926,355
926,358
926,361
925,362
923,364
923,366
922,367
922,370
922,372
921,373
921,375
921,376
920,378
920,378
920,379
918,380
917,380
916,382
917,383
916,384
916,385
916,386
916,387
916,387
916,388
916,389
916,389
916,390
916,390
916,391
915,392
913,391
914,393
913,392
913,393
912,393
913,394
913,395
912,395
913,396
912,396
879,379
876,378
867,374
871,376
828,354
473,163
357,104
283,69
242,50
221,42
216,40
215,40
214,39
206,36
201,35
195,33
189,31
184,29
177,27
170,25
169,25
168,25
164,23
158,21
154,20
151,19
149,19
146,18
144,17
142,17
141,17
139,16
138,16
136,16
136,15
134,15
134,15
133,15
131,14
131,14
130,14
127,13
126,13
125,13
125,13
125,13
124,13
122,12
