A1,A2
900,530
895,550
894,557
896,546
895,552
892,565
892,566
892,562
893,560
893,561
893,562
892,563
892,563
892,564
892,565
892,565
892,565
892,566
892,566
892,567
892,567
892,568
892,568
891,568
892,568
891,569
891,569
892,569
891,569
891,570
891,570
891,570
891,571
891,571
891,570
891,570
891,571
891,571
891,571
891,571
891,571
891,571
891,571
891,572
885,567
892,572
893,573
888,569
887,569
874,559
875,560
878,562
879,563
880,564
880,564
881,565
881,565
882,565
874,560
876,559
873,560
884,562
884,564
884,563
880,563
877,560
877,561
879,564
880,564
880,562
884,569
883,567
884,568
885,569
886,569
886,570
886,570
886,570
886,570
887,570
887,571
887,571
887,571
887,571
888,571
888,571
854,536
855,545
884,568
871,558
874,562
873,561
874,562
875,562
875,562
875,562
872,560
870,559
870,559
873,561
817,518
236,74
160,19
152,15
149,13
147,13
145,12
142,11
139,9
137,9
134,7
131,6
129,6
128,6
126,5
123,4
122,3
121,3
120,3
119,4
118,4
118,4
117,4
116,4
116,4
115,4
114,4
114,4
113,4
113,4
112,4
111,4
111,4
110,4
110,4
109,4
109,4
106,2
94,0
75,0
30,0
25,0
25,0
24,0
23,0
22,0
23,0
23,0
22,0
21,0
21,0
21,0
22,0
21,0
20,0
20,0
19,0
19,0
19,0
19,0
21,0
22,0
22,0
22,0
22,0
22,0
38,0
59,0
67,0
79,0
86,2
92,4
93,4
95,4
98,5
102,6
106,8
111,10
121,14
131,19
141,23
146,25
149,25
153,27
161,30
167,32
178,38
192,45
228,66
306,108
765,414
860,475
864,478
860,478
860,485
854,493
855,506
855,516
851,521
850,526
850,531
849,533
838,527
842,532
845,535
849,540
850,541
852,544
849,542
846,540
838,535
831,529
861,552
860,552
859,551
866,558
866,558
866,558
866,558
863,556
859,553
850,546
853,549
851,547
837,537
848,545
847,544
847,544
849,546
850,546
847,544
844,542
836,536
796,505
794,504
720,447
368,181
353,170
325,148
282,115
256,96
234,80
226,74
214,65
203,58
194,52
185,46
174,38
163,31
153,24
145,19
139,16
137,15
136,15
136,15
133,14
131,13
128,11
125,9
121,7
118,6
117,6
116,5
115,5
113,4
111,3
110,3
108,2
106,1
104,1
101,0
95,0
85,0
53,0
35,0
35,0
35,0
34,0
31,0
31,0
31,0
30,0
30,0
30,0
30,0
29,0
29,0
28,0
28,0
27,0
27,0
27,0
26,0
25,0
24,0
23,0
23,0
23,0
22,0
22,0
22,0
24,0
23,0
23,0
22,0
26,0
51,0
59,0
65,0
71,0
75,0
79,0
81,0
83,0
