A1,A2
156,18
155,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
155,18
156,18
155,18
156,18
156,18
156,18
156,18
156,18
156,17
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,19
156,18
156,18
156,18
156,18
156,18
152,17
146,16
143,15
142,15
142,15
142,15
140,15
139,15
138,14
137,14
137,14
136,14
135,14
132,13
129,12
126,12
125,11
124,12
123,11
123,11
122,11
120,11
119,11
119,10
115,10
113,9
111,9
108,8
108,8
107,8
107,8
106,8
106,8
106,8
105,8
106,8
105,8
105,8
105,8
104,8
100,7
88,4
82,3
82,3
81,3
81,3
78,2
76,3
75,2
74,2
72,2
69,1
67,1
65,1
61,0
54,0
42,0
10,0
9,0
9,0
9,0
8,0
8,0
8,0
7,0
7,0
7,0
7,0
5,0
4,0
5,0
7,0
5,0
5,0
8,0
7,0
9,0
9,0
9,0
10,0
3,0
4,0
4,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
7,0
12,0
14,0
23,0
30,0
36,1
44,2
49,2
56,3
63,4
66,4
67,4
70,4
73,4
76,5
77,5
79,5
82,5
86,6
89,6
92,6
96,7
99,7
102,8
105,8
106,8
109,8
112,8
114,8
116,9
118,9
120,9
122,9
125,9
128,10
131,10
132,10
133,10
135,10
135,10
137,10
138,10
141,11
145,12
150,12
152,12
156,13
159,13
161,13
162,14
163,14
164,14
166,14
168,14
171,15
173,15
175,15
179,16
182,16
185,17
187,17
188,17
191,18
193,18
196,19
199,19
201,20
206,20
213,22
218,23
223,24
225,24
230,25
234,26
237,27
241,27
246,28
257,31
266,33
277,35
285,37
292,39
296,40
301,41
309,44
325,48
335,50
343,52
355,56
379,63
416,73
440,80
461,87
468,89
476,93
524,109
598,136
905,262
935,267
962,278
963,281
963,287
961,294
960,303
958,312
956,322
954,332
952,342
949,351
947,358
945,365
944,372
942,379
941,384
940,388
939,392
937,395
937,399
937,402
937,404
936,406
936,408
936,410
935,412
935,414
934,415
926,413
918,409
927,416
931,419
931,420
935,424
934,425
934,426
932,426
930,426
929,426
930,427
929,427
890,405
894,409
813,360
434,150
378,120
341,100
309,83
283,70
274,66
266,62
257,57
242,50
236,48
233,47
230,45
225,43
216,39
212,38
207,36
201,34
194,31
186,28
183,27
179,26
177,25
173,24
168,22
165,21
162,20
159,19
157,19
154,18
152,17
150,17
147,16
144,15
142,14
140,14
139,13
137,13
135,12
135,12
134,12
133,12
131,11
129,11
126,10
123,9
118,7
113,6
104,4
98,2
93,1
92,1
90,1
89,0
89,1
88,0
86,0
81,0
68,0
35,0
10,0
11,0
9,0
11,0
9,0
10,0
9,0
8,0
6,0
8,0
8,0
7,0
9,0
12,0
12,0
13,0
40,0
16,0
9,0
14,0
10,0
7,0
6,0
7,0
7,0
7,0
7,0
6,0
6,0
6,0
7,0
6,0
6,0
6,0
5,0
5,0
5,0
6,0
15,0
7,0
4,0
4,0
7,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
5,0
4,0
4,0
3,0
3,0
4,0
3,0
16,0
35,0
36,0
37,0
38,0
38,0
39,0
39,0
39,0
39,0
39,0
39,0
40,0
40,0
40,0
49,0
54,0
61,1
66,1
67,1
71,1
73,1
73,1
78,2
79,2
82,2
83,2
83,2
86,2
86,2
87,2
87,2
88,2
93,3
94,3
95,3
96,3
99,3
104,4
107,5
110,5
111,5
115,5
120,6
124,7
127,7
129,7
130,7
133,7
136,8
138,8
139,8
140,8
141,8
141,8
142,8
144,8
145,8
146,8
147,8
149,8
151,9
152,9
154,9
155,9
157,9
157,9
159,9
160,10
161,10
162,10
163,10
166,10
169,11
172,11
174,12
174,12
176,12
177,13
178,12
178,12
179,12
181,13
182,12
185,14
186,13
187,13
188,14
189,14
189,13
190,14
191,14
192,14
193,14
195,15
197,15
198,15
199,15
199,15
199,15
199,15
199,15
199,15
199,15
198,15
198,15
198,15
200,16
202,16
203,16
203,16
207,17
210,18
