A1,A2
123,9
122,8
121,8
119,7
118,7
117,6
115,5
113,4
111,3
109,2
107,1
106,1
105,0
104,0
102,0
100,0
98,0
96,0
94,0
91,0
89,0
85,0
79,0
75,0
71,0
64,0
32,0
26,0
25,0
25,0
24,0
24,0
24,0
23,0
20,0
20,0
20,0
20,0
19,0
19,0
19,0
19,0
18,0
18,0
18,0
18,0
18,0
16,0
17,0
17,0
17,0
17,0
17,0
16,0
16,0
16,0
16,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
17,0
17,0
17,0
22,0
37,0
57,0
71,0
78,1
82,2
86,3
89,4
93,5
95,5
97,5
99,6
101,6
104,7
106,8
109,8
111,9
113,10
114,10
116,10
117,10
119,11
120,11
122,11
124,12
126,13
129,14
131,14
132,15
133,15
134,15
136,15
137,15
137,15
139,16
140,16
143,17
145,18
148,19
149,19
150,19
151,19
153,20
155,21
157,22
158,22
159,22
160,23
161,23
164,24
164,24
166,24
167,25
171,26
173,27
175,28
176,28
176,28
177,28
177,28
178,28
178,28
178,28
181,29
185,32
193,35
197,37
198,37
198,37
199,37
199,37
199,37
199,37
200,37
200,37
200,37
200,37
200,37
189,31
180,27
173,24
169,22
166,20
161,18
158,17
157,17
155,16
154,16
153,15
152,15
150,14
148,13
145,13
143,12
142,11
140,11
139,11
137,10
136,10
135,9
134,9
133,9
132,8
131,8
129,8
128,7
127,7
126,7
126,7
124,6
123,6
122,5
120,5
119,5
118,4
117,4
116,4
116,4
115,4
115,4
115,4
114,4
114,4
114,4
113,4
113,4
113,4
113,4
113,5
116,6
119,7
120,8
121,8
122,9
125,10
126,11
128,12
129,12
130,12
132,14
134,15
137,16
139,17
142,18
145,19
149,21
152,23
155,24
158,25
160,25
163,27
165,28
168,30
172,31
177,33
180,35
181,35
184,37
186,37
189,39
192,40
194,41
196,42
198,43
201,45
203,46
205,46
209,49
219,54
221,54
225,57
228,58
231,60
234,61
240,64
251,70
255,72
260,74
270,80
273,81
275,82
281,86
299,96
300,96
309,101
312,102
313,102
321,108
338,117
351,124
357,127
364,131
370,135
387,145
399,152
433,172
594,273
804,408
849,439
868,451
866,449
862,447
865,449
860,446
859,447
860,449
906,483
904,483
902,482
904,486
906,489
903,489
909,496
912,500
911,503
914,507
913,510
913,513
913,516
912,519
910,522
909,525
908,528
908,531
907,534
907,537
907,540
907,543
906,545
905,547
906,549
905,551
905,552
905,554
905,556
905,557
902,555
899,554
898,555
892,551
893,553
894,554
884,548
886,551
891,555
891,555
896,559
896,560
896,561
896,561
896,562
897,563
899,565
893,560
879,550
893,562
884,555
882,554
881,554
881,554
880,553
879,552
883,556
890,562
887,560
882,556
882,557
876,552
876,552
871,549
878,554
878,554
876,553
876,553
884,559
882,558
882,558
880,556
880,557
881,558
880,557
875,553
839,526
824,515
830,520
824,515
824,515
829,519
780,482
769,474
456,240
403,201
370,175
353,163
348,159
344,155
301,124
286,113
271,101
269,100
267,99
262,95
255,89
250,86
244,81
232,73
224,67
216,62
207,55
197,49
196,47
194,47
195,47
195,47
193,46
187,42
184,40
178,36
176,35
174,34
172,33
171,32
165,28
157,23
149,18
146,16
144,15
142,14
141,13
140,13
138,12
137,11
134,10
132,9
131,9
130,8
128,7
128,7
126,6
125,6
122,4
121,4
120,4
120,4
120,4
118,3
115,1
112,0
111,0
109,0
95,0
26,0
25,0
25,0
24,0
19,0
20,0
20,0
20,0
19,0
18,0
19,0
22,0
22,0
22,0
22,0
22,0
21,0
21,0
23,0
22,0
24,0
23,0
22,0
23,0
22,0
22,0
22,0
21,0
21,0
24,0
81,0
98,5
103,6
106,7
109,7
112,7
115,8
118,9
122,11
