Time
2116
2117
2117
2120
2141
2119
2119
2119
2144
2119
2119
2119
2119
2118
2119
2119
2119
2119
2119
2118
2119
2119
2119
2119
2119
2119
2119
2119
2119
2119
2119
2119
2119
2116
2113
2113
2138
2116
2113
2113
2113
2114
2113
2113
2113
2114
2113
2113
2113
2137
2137
2113
2138
2113
2113
2113
2113
2112
2137
2137
2113
2113
2113
2113
2138
2113
2112
2112
2113
2113
2112
2113
2117
2119
2119
2119
2119
2119
2118
2137
2119
2118
2118
2118
2118
2119
2119
2119
2144
2117
2117
2138
2113
2112
2113
2118
2119
2137
2113
2118
2118
2119
2118
2119
2118
